skiregion1,skiregion2,ort,length_total_slope,length_blue_slope,length_red_slope,length_black_slope,altitude_start,altitude_end,altitude_difference,number_of_ski_lifts,price_day_pass_chf,price_day_pass_euro,rating,lat,lon
Horben,Lindenberg,Lindenberg,0.2,0.2,0.0,0.0,765,805,40,1,15.0,16.0,2.0,47.08305358886719,7.968222141265869
Mammern-Klingenzell,,Mammern-Klingenzell,0.2,0.2,0.0,0.0,570,600,30,1,,,2.0,47.637210845947266,8.89915943145752
Bonderlen,,Bonderlen,0.2,0.2,0.0,0.0,1354,1364,10,1,,,2.0,46.489776611328125,7.578065872192383
Tarasp,,Tarasp,0.3,0.3,0.0,0.0,1410,1450,40,1,,,2.0,46.774200439453125,10.25875186920166
Nunningen,,Nunningen,0.2,0.2,0.0,0.0,660,700,40,1,,,2.0,47.39510726928711,7.626239776611328
Mesocco,,Mesocco,0.2,0.2,0.0,0.0,1180,1200,20,1,,,2.0,46.40300369262695,9.227678298950195
Guarda,,Guarda,0.2,0.2,0.0,0.0,1650,1670,20,1,,,2.0,46.776878356933594,10.148367881774902
Ardez,,Ardez,0.3,0.3,0.0,0.0,1476,1526,50,1,,,2.0,46.79677200317383,10.175736427307129
Lukaslift,Grabs,Grabs,0.2,0.2,0.0,0.0,469,482,13,1,,,2.0,47.18913650512695,9.414711952209473
Trient,,Trient,0.1,0.1,0.0,0.0,1320,1350,30,1,,,2.0,45.999473571777344,7.043597221374512
Brot-Plamboz,,Brot-Plamboz,0.4,0.4,0.0,0.0,1050,1100,50,1,,,2.0,47.01603317260742,6.785434722900391
Dalpe,,Dalpe,0.2,0.2,0.0,0.0,1200,1250,50,1,,,2.0,46.45354461669922,8.764383316040039
Riffenmatt,,Riffenmatt,0.3,0.3,0.0,0.0,1080,1140,60,1,,,2.0,46.77229690551758,7.354599952697754
Les Paccots,Mont-Chesau,Mont-Chesau,0.4,0.4,0.0,0.0,800,900,100,1,,,2.0,46.5059928894043,6.795595169067383
Le Chaluet,Court,Court,0.2,0.2,0.0,0.0,700,740,40,1,,,2.0,46.77328109741211,7.0362629890441895
