skiregion1,skiregion2,ort,length_total_slope,length_blue_slope,length_red_slope,length_black_slope,altitude_start,altitude_end,altitude_difference,number_of_ski_lifts,price_day_pass_chf,price_day_pass_euro,rating,lat,lon,canton
Elsigen-Metsch,Frutigen,Frutigen,30.0,10.0,17.0,3.0,1334,2289,955,11,,,2.9,46.582515716552734,7.65067195892334,BE
TschentenAlp,Adelboden,Adelboden,10.0,1.5,7.0,1.5,1367,1950,583,4,49.0,52.0,2.8,47.06343460083008,8.622342109680176,SZ
La Robella,Buttes,Buttes,20.0,10.0,5.0,5.0,780,1446,666,4,29.0,31.0,2.8,46.87736892700195,6.507267475128174,NE
Sarn,,Sarn,20.0,8.0,10.0,2.0,1300,2075,775,4,36.0,38.0,2.8,46.723941802978516,9.403610229492188,GR
Diemtigen,,Diemtigen,17.5,9.5,5.0,3.0,984,1868,884,7,55.0,59.0,2.8,46.64704513549805,7.553323268890381,BE
Marbach,Marbachegg,Marbachegg,7.4,5.0,2.4,0.0,885,1474,589,5,41.0,44.0,2.8,46.834869384765625,7.906062126159668,LU
Hochwang,Goldgruben,Goldgruben,20.0,9.0,9.0,2.0,1544,2299,755,3,55.0,59.0,2.8,47.14760971069336,7.278533458709717,BE
Les Mosses,,Les Mosses,40.0,10.0,30.0,0.0,1379,1874,495,14,65.0,69.0,2.8,46.631065368652344,6.97030782699585,FR
Bivio,,Bivio,30.0,13.0,13.0,4.0,1769,2560,791,4,46.0,49.0,2.8,46.46905517578125,9.649895668029785,GR
Rosswald,Brig,Brig,9.0,3.0,2.0,4.0,1820,2536,716,6,49.0,52.0,2.8,46.31845474243164,7.98712158203125,VS
La Fouly,,La Fouly,15.0,6.0,4.0,5.0,1607,2172,565,4,43.0,46.0,2.8,45.93663024902344,7.098944664001465,VS
Bugnenets-Savagnières,Saint-Imier,Saint-Imier,30.0,10.0,10.0,10.0,1078,1449,371,8,42.0,45.0,2.8,47.151058197021484,6.992454528808594,BE
Champex-Lac,,Champex-Lac,15.0,10.5,3.0,1.5,1468,2194,726,4,43.0,46.0,2.8,46.02708053588867,7.120485305786133,VS
Sattel,Hochstuckli,Hochstuckli,3.0,2.0,1.0,0.0,800,1491,691,6,35.0,37.0,2.8,47.06129837036133,8.659419059753418,SZ
Amden,Arvenbüel,Arvenbüel,17.0,5.5,11.5,0.0,931,1684,753,6,38.0,41.0,2.8,47.150299072265625,9.164973258972168,SG
Eischoll,,Eischoll,15.0,10.0,4.5,0.5,1260,2200,940,4,49.0,52.0,2.8,46.27672576904297,7.764072418212891,VS
Minschuns,Val Müstair-Tschierv,Val Müstair-Tschierv,25.0,17.0,5.0,3.0,2126,2673,547,4,42.0,45.0,2.8,46.62961196899414,10.323244094848633,GR
Heidbodme,Saas-Almagell,Saas-Almagell,15.4,6.9,8.5,0.0,1684,2347,663,7,55.0,59.0,2.7,46.107635498046875,8.007623672485352,VS
Vichères,,Vichères,15.0,7.0,5.0,3.0,1595,2267,672,4,43.0,46.0,2.7,45.9962158203125,7.166924476623535,VS
Rothwald,,Rothwald,25.0,5.0,15.0,5.0,1750,2270,520,3,44.0,47.0,2.7,46.28093719482422,8.039743423461914,VS
Engstligenalp,Adelboden,Adelboden,17.0,7.0,6.0,4.0,1971,2353,382,8,,,2.7,47.06343460083008,8.622342109680176,SZ
Axalp,,Axalp,15.0,11.0,1.5,2.5,1422,1959,537,6,55.0,59.0,2.7,46.72386169433594,8.037097930908203,BE
Feldis,,Feldis,10.3,0.3,7.5,2.5,1480,1996,516,4,39.0,42.0,2.7,46.79501724243164,9.434045791625977,GR
Brunni,Engelberg,Engelberg,8.5,3.7,2.9,1.9,1013,2075,1062,10,46.0,49.0,2.7,47.18781280517578,8.010319709777832,LU
